Jahr;BFS_Nummer;Gemeinde;Indikator;Wert
2020;2791;Röschenz;Steuerertrag_Juristische_Personen_Kapital_Vorjahr_CHF;25442.45
2020;2791;Röschenz;Steuerkraft_Total_CHF;3843682.87303624
2020;2791;Röschenz;Steuerkraft_pro_Einwohner_CHF;2041.25484494755
2020;2791;Röschenz;Ressourcenausgleich_Empfängergemeinden_vor_Kürzung_CHF;1146267.0
2020;2791;Röschenz;Kürzung_infolge_maximaler_Abschöpfungssatz_CHF;17368.0
2020;2792;Wahlen;Ressourcenausgleich_Gebergemeinden_CHF;0.0
2020;2792;Wahlen;Ressourcenausgleich_Empfängergemeinden_CHF;1701612.0
2020;2792;Wahlen;Lastenabgeltung_Bildung_Schülerzahl_CHF;0.0
2020;2792;Wahlen;Lastenabgeltung_Bildung_Weite_CHF;54010.0
2020;2792;Wahlen;Lastenabgeltung_Sozialhilfe_CHF;0.0
2020;2792;Wahlen;Lastenabgeltung_Nicht-Siedlungsfläche_CHF;27306.0
2020;2792;Wahlen;Lastenabgeltung_Total_CHF;81316.0
2020;2792;Wahlen;Finanzierung_Ausgleichsfonds_CHF;0.0
2020;2792;Wahlen;Solidaritätsbeitrag_Auszahlung_CHF;0.0
2020;2792;Wahlen;Solidaritätsbeitrag_Finanzierung_CHF;14610.0
2020;2792;Wahlen;Kompensation_vergangene_Aufgabenverschiebung_CHF;38042.0
2020;2792;Wahlen;Kompensationsleistung_Sechste_Primar_CHF;190436.0
2020;2792;Wahlen;Kompensationsleistung_Ergänzungsleistungen_CHF;66078.0
2020;2792;Wahlen;Gemeindeanteil_Ergänzungsleistungen_CHF;237675.0
2020;2792;Wahlen;Gemeindeanteil_Spitalbeschulung_CHF;639.0
2020;2792;Wahlen;Gemeindeanteil_Schulleiterkonferenz_CHF;69.0
2020;2792;Wahlen;Nettobelastung_CHF;0.0
2020;2792;Wahlen;Nettogutschrift_CHF;1748407.0
2020;2792;Wahlen;Mittlere_Wohnbevölkerung_Vorjahr;1461.0
2020;2792;Wahlen;Steuerertrag_Natürliche_Personen_Vorjahr_CHF;2134655.15
2020;2792;Wahlen;Steuerertrag_Juristische_Personen_Ertrag_Vorjahr_CHF;29082.0
2020;2792;Wahlen;Steuerertrag_Juristische_Personen_Kapital_Vorjahr_CHF;47967.1
